EID,SR,com,com2
2-s2.0-12144251662,"van Notten Ph et al., (2005) Technological Forecasting and Social Change",2,3
2-s2.0-27744563880,"Ahman M, (2006) Energy Policy",1,1
2-s2.0-33751093035,"Chowdhury R & Turner II, (2006) Annals of the Association of American Geographers",3,3
2-s2.0-34249677446,"Rocheleau D & Roth R, (2007) Geoforum",3,3
2-s2.0-61549142632,"Schneider A & Sidney M, (2009) Policy Studies Journal",3,1
2-s2.0-77956694166,"Dijk M & Yarime M, (2010) Technological Forecasting and Social Change",2,4
2-s2.0-79952039406,"Scherngell T & Barber M, (2011) Annals of Regional Science",4,3
2-s2.0-84905717142,"Heynen N, (2014) Progress in Human Geography",3,3
2-s2.0-84924065934,"Cusumano M et al., (2015) Strategic Management Journal",1,2
2-s2.0-84928760780,"Piscicelli L et al., (2015) Journal of Cleaner Production",5,2
2-s2.0-0000873097,"Raff D, (2000) Strategic Management Journal",1,3
2-s2.0-0012135314,"Marengo L et al., (2000) Industrial and Corporate Change",1,3
2-s2.0-0036141766,"Cooke P, (2002) International Regional Science Review",1,1
2-s2.0-85013688697,"DeCanio S, (2003) Economic Models of Climate Change: A Critique",6,3
2-s2.0-0037345538,"Czarnitzki D & Spielkamp A, (2003) Service Industries Journal",1,1
2-s2.0-35948945035,"Hsieh C et al., (2007) Journal of Management Studies",7,1
2-s2.0-84920069893,"Gertler M, (2008) Community, Economic Creativity, and Organization",4,3
2-s2.0-67649126501,"Lovell H et al., (2009) Environment and Planning C: Government and Policy",2,4
2-s2.0-78650178987,"Barton J & Floysand A, (2010) Global Environmental Change",3,3
2-s2.0-84856233068,"Dadderio L, (2011) Journal of Institutional Economics",5,1
2-s2.0-84870713954,"Lehmann P & Gawel E, (2013) Energy Policy",2,4
2-s2.0-84888288397,"Akenji L, (2014) Journal of Cleaner Production",5,2
2-s2.0-0000310539,"Lowe J & Taylor P, (1998) R and D Management",1,3
2-s2.0-0032314258,"Grubler A & Messner S, (1998) Energy Economics",6,3
2-s2.0-0034557482,"Ashmos D et al., (2000) Journal of Organizational Change Management",3,5
2-s2.0-0002625744,"Cortner H, (2000) Environmental Science and Policy",3,1
2-s2.0-0034946895,"Fai F & Von Tunzelmann N, (2001) Structural Change and Economic Dynamics",1,2
2-s2.0-3142735986,"Sheremata W, (2004) Academy of Management Review",1,2
2-s2.0-19244376014,"Ozcelik E & Taymaz E, (2004) Research Policy",1,3
2-s2.0-34548575009,"Beunza D & Garud R, (2007) Sociological Review",1,2
2-s2.0-42449138335,"Coe N et al., (2008) Journal of Economic Geography",4,4
2-s2.0-79958851551,"Buesa M et al., (2010) Research Policy",1,1
2-s2.0-83755169650,"Strengers Y, (2011) Journal of Consumer Culture",5,3
2-s2.0-79960041095,"Corner A & Randall A, (2011) Global Environmental Change",5,2
2-s2.0-84861141898,"Simmie J, (2012) European Planning Studies",2,4
2-s2.0-84864019885,"Carse A, (2012) Social Studies of Science",2,2
2-s2.0-84870245906,"Foray D et al., (2012) Research Policy",NA,NA
2-s2.0-84878013674,"Macnaghten P & Szerszynski B, (2013) Global Environmental Change",3,4
2-s2.0-84888132373,"Rayner S et al., (2013) Climatic Change",3,4
2-s2.0-84901306975,"Kramers A et al., (2014) Environmental Modelling and Software",2,4
2-s2.0-0033235530,"Andersen B, (1999) Journal of Evolutionary Economics",1,3
2-s2.0-0035500306,"Isoard S & Soria A, (2001) Energy Economics",1,4
2-s2.0-0038556836,"Cohendet P & Llerena P, (2003) Industrial and Corporate Change",1,3
2-s2.0-3042731519,"Barreto L & Kypreos S, (2004) Technovation",6,3
2-s2.0-33845940595,"Pickles J et al., (2006) Environment and Planning A",4,4
2-s2.0-33745923179,"Gunderson L et al., (2006) Ecology and Society",3,2
2-s2.0-38849096445,"Nelson R, (2007) Oxford Development Studies",1,3
2-s2.0-33845797067,"Pollock G, (2007) Journal of the Royal Statistical Society. Serie...",NA,NA
2-s2.0-67649132843,"Gustavsson E et al., (2009) Environment and Planning C: Government and Policy",4,5
2-s2.0-74549205896,"Kallis G & Norgaard R, (2010) Ecological Economics",1,3
2-s2.0-77952415360,"Raven R et al., (2010) International Journal of Technology Management",2,4
2-s2.0-79953032379,"Schreyogg G & Sydow J, (2011) Organization Studies",1,3
2-s2.0-80053981735,"Dodgson M et al., (2011) Research Policy",1,1
2-s2.0-84868666039,"Klijn E & Koppenjan J, (2012) Policy and politics",3,1
2-s2.0-84883054622,"Dunlop C & Radaelli C, (2013) Political Studies",3,1
2-s2.0-84971287143,"Geels F et al., (2016) Nature Climate Change",2,1
2-s2.0-84976324462,"Abson D et al., (2017) Ambio",3,2
2-s2.0-0033390723,"Norberg-Bohm V, (1999) Policy Sciences",1,2
2-s2.0-0033423637,"Sterman J & Wittenberg J, (1999) Organization Science",1,2
2-s2.0-0033216617,"Heaton J, (1999) Sociology of Health and Illness",3,7
2-s2.0-0034418832,"Day G & Schoemaker P, (2000) California Management Review",1,2
2-s2.0-0003357554,"Nightingale P, (2000) Research Policy",1,3
2-s2.0-0000208126,"Giesecke S, (2000) Research Policy",1,1
2-s2.0-0034082588,"Kaufmann A & Todtling F, (2000) Regional Studies",1,1
2-s2.0-0035600857,"Kubler D, (2001) Journal of European Public Policy",3,1
2-s2.0-0035536277,"Noda T & Collis D, (2001) Academy of Management Journal",1,2
2-s2.0-0036838957,"Koskinen K & Vanharanta H, (2002) International Journal of Production Economics",1,2
2-s2.0-0036242969,"Gandal N, (2002) Oxford Review of Economic Policy",1,4
2-s2.0-0041975051,"Van den Bergh J & Stagl S, (2003) Journal of Evolutionary Economics",1,3
2-s2.0-0742306137,"Dew N et al., (2004) Journal of Evolutionary Economics",1,3
2-s2.0-4744374676,"Gibbs D et al., (2005) Regional Studies",3,6
2-s2.0-27444443766,"Cumming G & Collier J, (2005) Ecology and Society",3,2
2-s2.0-33746480374,"Wiek A et al., (2006) Futures",2,3
2-s2.0-34548809119,"Motohashi K & Yun X, (2007) Research Policy",1,1
2-s2.0-41249083911,"Schluter M & Pahl-Wostl C, (2007) Ecology and Society",3,2
2-s2.0-53349108324,"Adomavicius G et al., (2008) MIS Quarterly: Management Information Systems",1,3
2-s2.0-44349129861,"Meul M et al., (2008) Agronomy for Sustainable Development",2,4
2-s2.0-77952585322,"Lake A et al., (2010) Health and Place",NA,NA
2-s2.0-77953673770,"Spencer G et al., (2010) Regional Studies",4,1
2-s2.0-77953722673,"Benner M, (2010) Organization Science",1,2
2-s2.0-79959978574,"Fitjar R & Rodriguez-Pose A, (2011) Environment and Planning A",4,3
2-s2.0-79960039711,"Van de Meene S et al., (2011) Global Environmental Change",3,1
2-s2.0-84865032769,"Janicke M, (2012) Energy Policy",2,5
2-s2.0-84874778786,"Archibugi D et al., (2013) Research Policy",1,2
2-s2.0-84910005455,"Wittmayer J & Schapke N, (2014) Sustainability Science",2,3
2-s2.0-84896382088,"Sahakian M & Wilhite H, (2014) Journal of Consumer Culture",5,3
2-s2.0-84895073604,"Williams B & Brown E, (2014) Environmental Management",3,2
2-s2.0-0031972166,"Smith F et al., (1998) Ecography",6,2
2-s2.0-0001122597,"Pratchett L, (1999) Public Administration",3,1
2-s2.0-84986052386,"Augier M & Thanning Vendelo M, (1999) Journal of Knowledge Management",1,3
2-s2.0-0032884996,"Visser E, (1999) World Development",4,1
2-s2.0-0036338752,"Azar C & Schneider S, (2002) Ecological Economics",6,3
2-s2.0-0041924962,"Ucbasaran D et al., (2003) Entrepreneurship and Regional Development",7,1
2-s2.0-0043200994,"Newlands D, (2003) European Planning Studies",4,1
2-s2.0-3042583845,"Dew N et al., (2004) Journal of Business Venturing",1,3
2-s2.0-4444254473,"Lauber V & Mez L, (2004) Energy and Environment",2,6
2-s2.0-33646138952,"Raven R, (2006) Research Policy",2,4
2-s2.0-51249150295,"Hand M & Shove E, (2007) Journal of Consumer Culture",5,3
2-s2.0-41249092489,"van der Brugge R & van Raak R, (2007) Ecology and Society",3,2
2-s2.0-34249830169,"Innes J et al., (2007) Journal of the American Planning Association",3,1
2-s2.0-34147161865,"Granovskii M et al., (2007) Journal of Power Sources",6,2
2-s2.0-66349093328,"Bulkeley H & Gregson N, (2009) Environment and Planning A",5,3
2-s2.0-78649449660,"Spaargaren G & Oosterveer P, (2010) Sustainability",5,1
2-s2.0-77956415432,"West J et al., (2010) Energy Policy",2,6
2-s2.0-84855482565,"Young H, (2011) Proceedings of the National Academy of Sciences...",1,4
2-s2.0-84860217485,"Garud R & Gehman J, (2012) Research Policy",2,2
2-s2.0-84875220029,"Stokes L, (2013) Energy Policy",2,6
2-s2.0-84903748156,"Redman C, (2014) Ecology and Society",3,2
2-s2.0-84894318064,"Feola G & Nunes R, (2014) Global Environmental Change",2,1
2-s2.0-84899981242,"Lewis M & Smith W, (2014) Journal of Applied Behavioral Science",1,2
2-s2.0-0035420019,"Varsakelis N, (2001) Research Policy",1,1
2-s2.0-0035633317,"Niosi J & Bas T, (2001) Small Business Economics",1,1
2-s2.0-0036567849,"Garavelli A et al., (2002) Technovation",1,3
2-s2.0-23044465231,"Reichstein T et al., (2005) Construction Management and Economics",1,1
2-s2.0-22244437929,"Hall A, (2005) Journal of International Development",1,1
2-s2.0-33745590837,"Geels F & Deuten J, (2006) Science and Public Policy",2,4
2-s2.0-34848829275,"Comfort L & Haase T, (2006) Public Works Management & Policy",3,5
2-s2.0-33644780871,"Zimmerer K, (2006) Progress in Human Geography",3,3
2-s2.0-34548667215,"Leiponen A & Drejer I, (2007) Research Policy",1,3
2-s2.0-39849106891,"Forsyth T, (2008) Geoforum",3,3
2-s2.0-84928078168,"Jarzabkowski P et al., (2009) Institutional Work: Actors and Agency in Instit...",7,2
2-s2.0-77955968687,"Melnyk S et al., (2010) MIT Sloan Management Review",NA,NA
2-s2.0-82855169109,"Kern F, (2011) Environment and Planning C: Government and Policy",2,3
2-s2.0-79961032357,"Liu F et al., (2011) Research Policy",1,1
2-s2.0-84880331630,"Steinhilber S et al., (2013) Energy Policy",2,4
2-s2.0-84902544639,"Garud R et al., (2014) Research Policy",1,2
2-s2.0-0038347540,"Etzkowitz H & Leydesdorff L, (1999) Journal of Technology Transfer",1,3
2-s2.0-0000247080,"Godoe H, (2000) Research Policy",1,3
2-s2.0-0346727086,"Deuten J & Rip A, (2000) Organization",2,2
2-s2.0-0036853319,"Fleming L, (2002) Industrial and Corporate Change",1,2
2-s2.0-0036856760,"Girard M & Stark D, (2002) Environment and Planning A",7,4
2-s2.0-9144254059,"Manne A & Richels R, (2004) Energy Economics",6,3
2-s2.0-85035786715,"Mom G, (2004) The Electric Vehicle: Technology and Expectatio...",2,2
2-s2.0-4844224117,"Hurley P & Walker P, (2004) Environment and Planning A",3,3
2-s2.0-34547096251,"Prudham S, (2007) Antipode",3,3
2-s2.0-47149109306,"Teisman G & Klijn E, (2008) Public Management Review",5,4
2-s2.0-38949100794,"Krausmann F et al., (2008) Ecological Economics",3,6
2-s2.0-67650806526,"Reitzig M & Puranam P, (2009) Strategic Management Journal",1,3
2-s2.0-70449674898,"Fontana R et al., (2009) Economics of Innovation and New Technology",1,3
2-s2.0-77951259225,"Moller K, (2010) Industrial Marketing Management",1,2
2-s2.0-73649122835,"Choi H et al., (2010) Industrial Marketing Management",1,4
2-s2.0-77956401960,"Hawkes A, (2010) Energy Policy",NA,NA
2-s2.0-76649145167,"Ellstrom P, (2010) Journal of Workplace Learning",1,2
2-s2.0-79956272378,"Robards M et al., (2011) Global Environmental Change",3,2
2-s2.0-84861758969,"Musiolik J et al., (2012) Technological Forecasting and Social Change",2,5
2-s2.0-84904939513,"Goddard J & Vallance P, (2013) The University and the City",4,2
2-s2.0-84879044487,"Jasanoff S & Kim S, (2013) Science as Culture",3,4
2-s2.0-84877628254,"Wesselink A et al., (2013) Environmental Science and Policy",3,1
2-s2.0-84904647719,"Walker G, (2014) Energy Research and Social Science",5,3
2-s2.0-0031871662,"Janssen M & De Vries B, (1998) Ecological Economics",6,3
2-s2.0-0000440376,"Frenken K, (2000) Research Policy",1,4
2-s2.0-0034270434,"Dyba T, (2000) IEEE Software",3,1
2-s2.0-0036077903,"Krausmann F & Haberl H, (2002) Ecological Economics",3,6
2-s2.0-0038075506,"Farrell A et al., (2003) Energy Policy",2,4
2-s2.0-2942513534,"Chang P & Shih H, (2004) Technovation",1,1
2-s2.0-26644441642,"Chiasson M & Saunders C, (2005) Journal of Business Venturing",7,1
2-s2.0-33744460780,"Keil R, (2005) Urban Geography",3,3
2-s2.0-33750352790,"Guy S, (2006) Environment and Planning C: Government and Policy",2,2
2-s2.0-84993811087,"Phillips N & Tracey P, (2007) Strategic Organization",7,1
2-s2.0-77953049337,"Dimitrov R, (2010) Global Environmental Politics",4,5
2-s2.0-79956202680,"Lamine C, (2011) Journal of Rural Studies",2,1
2-s2.0-84858327015,"Hodson M & Marvin S, (2012) European Planning Studies",2,1
2-s2.0-84862331200,"Cook I & Swyngedouw E, (2012) Urban Studies",3,3
2-s2.0-84857931055,"Ponte S, (2012) Journal of Agrarian Change",2,2
2-s2.0-84886017321,"Jones A et al., (2013) Journal of Geophysical Research Atmospheres",3,4
2-s2.0-84873243206,"Ma M & Hassink R, (2013) Annals of Tourism Research",1,3
2-s2.0-84977513357,"van Vuuren D et al., (2017) Global Environmental Change",2,1
2-s2.0-0006917379,"Sohngen B & Mendelsohn R, (1998) American Economic Review",6,2
2-s2.0-0011649684,"van der Krogt F, (1998) Human Resource Development Quarterly",3,5
2-s2.0-0035069720,"Schot J, (2001) Technology Analysis and Strategic Management",2,2
2-s2.0-0036680596,"Chung S, (2002) Technovation",1,1
2-s2.0-0742329095,"King D et al., (2003) Journal of Management",1,2
2-s2.0-0347622741,"Keulartz J et al., (2004) Science Technology and Human Values",2,2
2-s2.0-2342465000,"Ayres R, (2004) Ecological Economics",1,3
2-s2.0-33746151197,"Konrad K, (2006) Technology Analysis and Strategic Management",2,2
2-s2.0-33748116377,"Park K & Lee K, (2006) Industrial and Corporate Change",1,3
2-s2.0-33750269838,"Cornelissen J, (2006) Organization Studies",7,3
2-s2.0-33748571499,"Harmaakorpi V, (2006) European Planning Studies",1,1
2-s2.0-84917185063,"Pinkse J & Kolk A, (2008) International Business and Global Climate Change",1,2
2-s2.0-47249117432,"Hobbs B et al., (2008) International Journal of Project Management",1,3
2-s2.0-57349130590,"Schianetz K & Kavanagh L, (2008) Journal of Sustainable Tourism",3,2
2-s2.0-67549112167,"Foxon T et al., (2009) Environmental Policy and Governance",2,3
2-s2.0-67349175650,"Ortega-Argiles R et al., (2009) Small Business Economics",1,3
2-s2.0-77952626831,"Shove E, (2010) Theory, Culture and Society",5,2
2-s2.0-77951728943,"Yang H et al., (2010) Academy of Management Journal",1,2
2-s2.0-77952822267,"Alam Hossain Mondal M et al., (2010) Energy Policy",1,1
2-s2.0-84881849266,"Strambach S, (2010) The Handbook of Evolutionary Economic Geography",1,3
2-s2.0-77950369713,"Harrison J, (2010) Political Geography",4,2
2-s2.0-77956089974,"Meijers E & Burger M, (2010) Environment and Planning A",4,2
2-s2.0-78651371841,"Phaal R et al., (2011) Technological Forecasting and Social Change",1,2
2-s2.0-79960993203,"van Vuuren D et al., (2011) Climatic Change",6,4
2-s2.0-84871929293,"Robinson D et al., (2013) Technological Forecasting and Social Change",2,5
2-s2.0-84884213766,"Wu S et al., (2013) ACS Sustainable Chemistry and Engineering",NA,NA
2-s2.0-84924411438,"Moore M et al., (2014) Ecology and Society",2,3
2-s2.0-85028143698,"Popa F et al., (2015) Futures",3,2
2-s2.0-0000003783,"Mutinelli M & Piscitello L, (1998) Research Policy",1,2
2-s2.0-2442621039,"Ehrenfeld J, (2004) Journal of Cleaner Production",3,6
2-s2.0-24144491639,"Thursby J & Thursby M, (2005) Journal of Technology Transfer",7,1
2-s2.0-60349097676,"Gibbs D, (2006) Greener Management International",2,4
2-s2.0-33646425563,"Fetterhoff T & Voelkel D, (2006) Research Technology Management",1,2
2-s2.0-32044440272,"Buesa M et al., (2006) Technovation",1,1
2-s2.0-33646883477,"Granovskii M et al., (2006) Journal of Power Sources",NA,NA
2-s2.0-34247579614,"Fiet J, (2007) Journal of Management Studies",7,1
2-s2.0-34548441143,"Schmoch U, (2007) Research Policy",1,3
2-s2.0-51049112960,"Voss J et al., (2007) Journal of Environmental Policy and Planning",3,1
2-s2.0-33845706497,"Bolte J et al., (2007) Environmental Modelling and Software",3,5
2-s2.0-57549117420,"Deutz P & Gibbs D, (2008) Regional Studies",4,1
2-s2.0-46049112212,"Chien T & Hu J, (2008) Energy Policy",3,4
2-s2.0-64449086665,"Segalas J et al., (2009) Sustainability Science",2,3
2-s2.0-84882003478,"Junginger M et al., (2010) Technological Learning in the Energy Sector: Le...",2,5
2-s2.0-79151483632,"Elzen B et al., (2011) Research Policy",2,1
2-s2.0-84865098743,"Galaz V et al., (2012) Ecological Economics",3,2
2-s2.0-84875526533,"Hoppmann J et al., (2013) Research Policy",2,4
2-s2.0-84875044409,"Drori I & Honig B, (2013) Organization Studies",7,2
2-s2.0-84879045085,"Miller C et al., (2013) Science as Culture",2,2
2-s2.0-84899918401,"Nesta L et al., (2014) Journal of Environmental Economics and Management",6,1
2-s2.0-84923148784,"Hajer M et al., (2015) Sustainability (Switzerland)",3,4
2-s2.0-0032033431,"Hartz C et al., (1998) Environmental Science and Technology",6,2
2-s2.0-0033542407,"Rahmstorf S, (1999) Nature",6,2
2-s2.0-0033561115,"McPhaden M, (1999) Nature",6,2
2-s2.0-0034561742,"Saarikoski H, (2000) Environmental Impact Assessment Review",3,1
2-s2.0-0035060582,"Galvin P & Morkel A, (2001) Industry and Innovation",1,2
2-s2.0-0035620464,"Schofield J, (2001) International Journal of Management Reviews",3,1
2-s2.0-0141994494,"Winch G, (2003) Construction Management and Economics",1,2
2-s2.0-1842737744,"Frenken K et al., (2004) Technological Forecasting and Social Change",1,2
2-s2.0-84986134851,"Ashford N, (2004) International Journal of Sustainability in High...",1,2
2-s2.0-1542318247,"Jacobsson S et al., (2004) Technology Analysis and Strategic Management",2,5
2-s2.0-3242879266,"Menrad K, (2004) Research Policy",1,1
2-s2.0-2642547377,"Schofield J, (2004) Public Administration",3,1
2-s2.0-25844447311,"Marengo L & Dosi G, (2005) Journal of Economic Behavior and Organization",1,3
2-s2.0-33645843039,"Cattani G, (2006) Industrial and Corporate Change",1,2
2-s2.0-33748301957,"Gibbs D, (2006) Economic Geography",3,3
2-s2.0-33746101781,"Huang S et al., (2006) Resources, Conservation and Recycling",3,6
2-s2.0-35648988122,"Smith A, (2007) Energy Policy",2,3
2-s2.0-34447507711,"Barker T et al., (2007) Energy Policy",NA,NA
2-s2.0-52249108939,"Pinch T, (2008) Theory and Society",5,1
2-s2.0-49649118825,"Wenting R, (2008) Journal of Economic Geography",4,2
2-s2.0-79951778093,"Rodriguez-Pose A & Crescenzi R, (2008) Cambridge Journal of Regions, Economy and Society",4,4
2-s2.0-77951902451,"Pantza M & Shove E, (2010) Technology Analysis and Strategic Management",5,1
2-s2.0-84857199903,"Frantzeskaki N et al., (2012) International Journal of Sustainable Development",2,3
2-s2.0-84919871986,"Baker L et al., (2014) New Political Economy",2,1
2-s2.0-0033104168,"Prettenthaler F & Steininger K, (1999) Ecological Economics",1,3
2-s2.0-0033709390,"Van Der Ploeg J & Renting H, (2000) Sociologia Ruralis",2,4
2-s2.0-0035535695,"Ciborra C & Andreu R, (2001) Journal of Information Technology",1,3
2-s2.0-0035110282,"Willson R, (2001) Transportation",3,1
2-s2.0-13344261943,"Jacobson A et al., (2005) Energy Policy",4,2
2-s2.0-28044445139,"Hung S & Chu Y, (2006) Technovation",NA,NA
2-s2.0-33947521956,"Waxell A & Malmberg A, (2007) Entrepreneurship and Regional Development",4,1
2-s2.0-37049014038,"Martinot E et al., (2007) Annual Review of Environment and Resources",2,2
2-s2.0-37349079227,"Negro S et al., (2008) Technological Forecasting and Social Change",2,5
2-s2.0-43449107646,"Tappeiner G et al., (2008) Research Policy",4,3
2-s2.0-40149103798,"Criscuolo P & Narula R, (2008) European Journal of Development Research",1,1
2-s2.0-47249129512,"Henriksen H & Barlebo H, (2008) Journal of Environmental Management",3,5
2-s2.0-78649825364,"Coenen L et al., (2010) Technology in Society",4,3
2-s2.0-73749085030,"van Mierlo B et al., (2010) Technological Forecasting and Social Change",1,1
2-s2.0-78649905958,"Huntjens P et al., (2010) Regional Environmental Change",3,2
2-s2.0-79955901874,"Sovacool B, (2011) Energy Policy",3,2
2-s2.0-84863775851,"Bos J & Brown R, (2012) Technological Forecasting and Social Change",2,4
2-s2.0-84870829149,"Seyfang G & Longhurst N, (2013) Ecological Economics",2,6
2-s2.0-84871486338,"Harrison J, (2013) Regional Studies",4,2
2-s2.0-84888050048,"Smith A et al., (2014) Technological Forecasting and Social Change",2,5
2-s2.0-0000063325,"Majumdar S & Venkataraman S, (1998) Strategic Management Journal",1,4
2-s2.0-0032286663,"Kuwada K, (1998) Organization Science",1,3
2-s2.0-0033172630,"Colombo A et al., (1999) Journal of Climate",NA,NA
2-s2.0-0032856114,"Lindholm Dahlstrand A, (1999) Regional Studies",1,1
2-s2.0-0034685911,"Sailor W et al., (2000) Science",6,3
2-s2.0-0001416044,"Gordon S et al., (2000) Journal of Management",1,2
2-s2.0-0033996813,"Philo C, (2000) Area",NA,NA
2-s2.0-0035690290,"Busenberg G, (2001) Journal of Public Policy",3,1
2-s2.0-0036691156,"Marsili O & Verspagen B, (2002) Industrial and Corporate Change",1,3
2-s2.0-0037034886,"Johnson D et al., (2002) Nature",6,2
2-s2.0-0043132302,"Smith A, (2003) Science and Public Policy",2,4
2-s2.0-0346125505,"Skogstad G, (2003) Journal of European Public Policy",3,1
2-s2.0-0345566200,"Zilahy G, (2004) Journal of Cleaner Production",NA,NA
2-s2.0-4744338721,"Korhonen J et al., (2004) Business Strategy and the Environment",3,6
2-s2.0-42949093219,"Robinson D & Propp T, (2008) Technological Forecasting and Social Change",2,4
2-s2.0-41649101598,"Metcalfe S & Ramlogan R, (2008) Quarterly Review of Economics and Finance",1,1
2-s2.0-72449204278,"Scrase I & Smith A, (2009) Environmental Politics",2,4
2-s2.0-77951200562,"Walker G et al., (2010) Environment and Planning A",2,6
2-s2.0-84925121591,"Fransman M, (2010) The New ICT Ecosystem: Implications for Policy ...",1,1
2-s2.0-77954507716,"Osbahr H et al., (2010) Ecology and Society",3,2
2-s2.0-80052235324,"Walker G, (2011) Wiley Interdisciplinary Reviews: Climate Change",2,6
2-s2.0-84866941852,"Fouquet R & Pearson P, (2012) Energy Policy",2,4
2-s2.0-84898481091,"Trencher G et al., (2014) Science and Public Policy",2,1
2-s2.0-84894035017,"Crespo J et al., (2014) Journal of Economic Geography",4,2
2-s2.0-0031938496,"Yohe G & Schlesinger M, (1998) Climatic Change",6,3
2-s2.0-0345273537,"Charteris-Black J & Ennis T, (2001) English for Specific Purposes",1,3
2-s2.0-0346904402,"Yu T, (2001) Review of Austrian Economics",7,1
2-s2.0-0005734792,"Desrochers P, (2001) Growth and Change",1,3
2-s2.0-0036532721,"Austin S et al., (2002) International Journal of Project Management",NA,NA
2-s2.0-0038612962,"Knott A et al., (2003) Organization Science",1,3
2-s2.0-12444300200,"Shove E, (2004) Energy and Environment",2,2
2-s2.0-2642525302,"O'Toole Jr, (2004) Public Administration",3,1
2-s2.0-24344490340,"Park H et al., (2005) Scientometrics",1,1
2-s2.0-33644756679,"Schweizer L, (2005) Journal of General Management",1,2
2-s2.0-84892332704,"Pehnt M et al., (2006) Micro Cogeneration: Towards Decentralized Energ...",2,2
2-s2.0-33646404655,"Srinivasan R et al., (2006) Journal of Marketing",1,2
2-s2.0-33644889660,"Popp D, (2006) Energy Economics",6,1
2-s2.0-34347341764,"Weaver P & Rotmans J, (2006) International Journal of Innovation and Sustain...",NA,NA
2-s2.0-34447302307,"Jones A, (2007) Journal of Economic Geography",4,4
2-s2.0-51049119009,"Walker G & Shove E, (2007) Journal of Environmental Policy and Planning",2,4
2-s2.0-34748836371,"Van Den Bergh J, (2007) Journal of Evolutionary Economics",3,2
2-s2.0-47149095088,"Klijn E, (2008) Public Management Review",3,1
2-s2.0-70449405749,"Van Zeijl-Rozema A et al., (2008) Sustainable Development",2,3
2-s2.0-77649329266,"Lloyd A, (2010) Journal of Documentation",5,1
2-s2.0-84917383676,"Postill J, (2010) Theorising Media and Practice",5,1
2-s2.0-77249156293,"Cohendet P et al., (2010) Industry and Innovation",4,3
2-s2.0-77953653855,"Hodson M & Marvin S, (2010) City",4,2
2-s2.0-84984623258,"Pechlaner H et al., (2010) Tourism Review",3,5
2-s2.0-80054909502,"Joss S, (2011) International Journal of Sustainable Developmen...",NA,NA
2-s2.0-84858329339,"Spath P & Rohracher H, (2012) European Planning Studies",2,1
2-s2.0-84877100885,"Browne D et al., (2012) Journal of Cleaner Production",2,4
2-s2.0-84872620370,"Vanclay F, (2012) Ocean and Coastal Management",NA,NA
2-s2.0-84886721028,"Seyfang G & Longhurst N, (2013) Global Environmental Change",2,1
2-s2.0-84894440325,"Strunz S, (2014) Ecological Economics",2,1
2-s2.0-84896452958,"Zwarteveen M & Boelens R, (2014) Water International",3,3
2-s2.0-84929012525,"van der Kam M & van Sark W, (2015) Applied Energy",2,4
2-s2.0-0040944314,"Joerges B & Czarniawska B, (1998) Organization Studies",3,4
2-s2.0-0033457161,"Durning D, (1999) Journal of Policy Analysis and Management",3,1
2-s2.0-0034088502,"Rijsberman M & Van De Ven F, (2000) Environmental Impact Assessment Review",NA,NA
2-s2.0-0034881995,"Fraedrich K et al., (2001) Climatic Change",NA,NA
2-s2.0-0034827007,"Metcalfe J, (2001) Industrial and Corporate Change",1,3
2-s2.0-0037288134,"Bi P et al., (2003) Public Health Reports",6,2
2-s2.0-84949544424,"Pettigrew A et al., (2003) Innovative Forms of Organizing: International P...",1,2
2-s2.0-3042532692,"Minniti M, (2004) Journal of Business Venturing",1,3
2-s2.0-41449109728,"Tripsas M, (2008) Managerial and Decision Economics",1,2
2-s2.0-53149128721,"Ang S, (2008) Strategic Management Journal",1,2
2-s2.0-44349183158,"Linton J & Walsh S, (2008) Technological Forecasting and Social Change",1,2
2-s2.0-70349644372,"Sousa-Poza A et al., (2008) International Journal of System of Systems Engi...",3,5
2-s2.0-72449172843,"Kemp R & Rotmans J, (2009) Policy Sciences",2,3
2-s2.0-61849157505,"Pandza K & Thorpe R, (2009) British Journal of Management",1,2
2-s2.0-84889960058,"Bridge G & Perreault T, (2009) A Companion to Environmental Geography",3,3
2-s2.0-67349236102,"Mann G, (2009) Geoforum",3,3
2-s2.0-77953711859,"Reid L et al., (2010) Progress in Human Geography",5,2
2-s2.0-77955273589,"Wolsink M, (2010) Environmental Impact Assessment Review",3,2
2-s2.0-77956746095,"Rice J, (2010) Annals of the Association of American Geographers",4,5
2-s2.0-78651544211,"Barr S et al., (2011) Applied Geography",5,2
2-s2.0-84992933457,"Boisen M et al., (2011) Journal of Place Management and Development",4,2
2-s2.0-84879570212,"Foster C & Heeks R, (2013) European Journal of Development Research",1,1
2-s2.0-84883488182,"Lange P et al., (2013) Journal of Environmental Policy and Planning",3,1
2-s2.0-84899449837,"Rohracher H & Spath P, (2014) Urban Studies",2,1
2-s2.0-0032072096,"Prahalad C, (1998) Research Technology Management",1,2
2-s2.0-0033928262,"Akala V & Lal R, (2000) Land Degradation and Development",NA,NA
2-s2.0-0034333178,"Andersson B & Jacobsson S, (2000) Energy Policy",1,2
2-s2.0-0035400049,"Wang X et al., (2001) Forest Ecology and Management",6,2
2-s2.0-0036656409,"Yeung H, (2002) Economic Geography",4,2
2-s2.0-0036234387,"Green K & Vergragt P, (2002) Futures",2,3
2-s2.0-84922818298,"Geroski P, (2003) The Evolution of New Markets",1,2
2-s2.0-0037400450,"Jansen L, (2003) Journal of Cleaner Production",2,3
